sample_id,modality,rank,position,position_score,attention_score,modality_score,text_span,start_sec,end_sec,start_frame,end_frame,representative_frame,mapping_method,mapping_confidence
01,text,1,13,0.1554684882030413,0.29409492015838623,0.5920633041476276,ensuring,5.189781021897811,5.7153284671532845,155,171,163,token_offset_proportional_fallback,0.35
01,text,2,11,0.07824091394768382,0.12280473858118057,0.5920633041476276,essential,4.335766423357664,4.927007299270073,130,147,138,token_offset_proportional_fallback,0.35
01,text,3,18,0.07196609022833476,0.0889919251203537,0.5920633041476276,to,7.226277372262774,7.357664233576642,216,220,218,token_offset_proportional_fallback,0.35
01,text,4,15,0.06525456595738834,0.045983877032995224,0.5920633041476276,new,6.043795620437956,6.240875912408759,181,187,184,token_offset_proportional_fallback,0.35
01,text,5,14,0.05787439340457832,0.027314145117998123,0.5920633041476276,the,5.781021897810219,5.978102189781022,173,179,176,token_offset_proportional_fallback,0.35
01,audio,1,22,0.07045988030824746,0.18451829254627228,0.19286598331238336,requirements,8.211678832116789,9.0,246,269,258,token_offset_proportional_fallback,0.35
01,audio,2,3,0.05485291140446143,0.048307500779628754,0.19286598331238336,wear,1.051094890510949,1.313868613138686,31,39,35,token_offset_proportional_fallback,0.35
01,audio,3,10,0.05260887456475211,0.03585685417056084,0.19286598331238336,is,4.138686131386861,4.2700729927007295,124,128,126,token_offset_proportional_fallback,0.35
01,audio,4,13,0.05013722261328091,0.05239424109458923,0.19286598331238336,ensuring,5.189781021897811,5.7153284671532845,155,171,163,token_offset_proportional_fallback,0.35
01,audio,5,21,0.049654435830605435,0.09588887542486191,0.19286598331238336,age,7.9489051094890515,8.145985401459853,238,244,241,token_offset_proportional_fallback,0.35
01,vision,1,20,0.06717111679882215,0.08487655967473984,0.21507071253998894,mile,7.686131386861314,7.9489051094890515,230,238,234,token_offset_proportional_fallback,0.35
01,vision,2,4,0.06502018062124994,0.014857755973935127,0.21507071253998894,components,1.3795620437956204,2.0364963503649633,41,61,51,token_offset_proportional_fallback,0.35
01,vision,3,6,0.06123922540090972,0.2382805049419403,0.21507071253998894,replacing,2.4306569343065694,3.021897810218978,72,90,81,token_offset_proportional_fallback,0.35
01,vision,4,5,0.060786244487479005,0.16963666677474976,0.21507071253998894,when,2.102189781021898,2.3649635036496353,63,70,66,token_offset_proportional_fallback,0.35
01,vision,5,11,0.057128908902737086,0.00543940719217062,0.21507071253998894,essential,4.335766423357664,4.927007299270073,130,147,138,token_offset_proportional_fallback,0.35
02,text,1,18,0.12092467938673963,0.07440073788166046,0.5941766284335093,misery,3.2450704225352114,3.5492957746478875,97,106,102,token_offset_proportional_fallback,0.35
02,text,2,11,0.09022663860839983,0.057655807584524155,0.5941766284335093,-,2.1295774647887327,2.1802816901408453,63,65,64,token_offset_proportional_fallback,0.35
02,text,3,9,0.0747121661005608,0.1665836125612259,0.5941766284335093,s,1.5211267605633803,1.571830985915493,45,47,46,token_offset_proportional_fallback,0.35
02,text,4,4,0.0674865330510384,0.13354024291038513,0.5941766284335093,live,0.5577464788732395,0.7605633802816901,16,22,19,token_offset_proportional_fallback,0.35
02,text,5,12,0.06395927232078354,0.044292569160461426,0.5941766284335093,not,2.230985915492958,2.383098591549296,66,71,68,token_offset_proportional_fallback,0.35
02,audio,1,16,0.06886651029018384,0.026734987273812294,0.14185698122238422,’,3.092957746478873,3.143661971830986,92,94,93,token_offset_proportional_fallback,0.35
02,audio,2,17,0.06674689826938637,0.027454586699604988,0.14185698122238422,s,3.143661971830986,3.1943661971830988,94,95,94,token_offset_proportional_fallback,0.35
02,audio,3,6,0.06292067814285808,0.26649659872055054,0.14185698122238422,each,0.9633802816901409,1.1661971830985915,28,34,31,token_offset_proportional_fallback,0.35
02,audio,4,7,0.05999508368630453,0.042792752385139465,0.14185698122238422,other,1.2169014084507044,1.4704225352112676,36,44,40,token_offset_proportional_fallback,0.35
02,audio,5,15,0.058347567503098434,0.024847745895385742,0.14185698122238422,other,2.8394366197183096,3.092957746478873,85,92,88,token_offset_proportional_fallback,0.35
02,vision,1,10,0.07850479190566766,0.055121030658483505,0.26396639034410646,happiness,1.6225352112676057,2.0788732394366196,48,62,55,token_offset_proportional_fallback,0.35
02,vision,2,9,0.07558805359105313,0.07943444699048996,0.26396639034410646,s,1.5211267605633803,1.571830985915493,45,47,46,token_offset_proportional_fallback,0.35
02,vision,3,13,0.0700013232330935,0.041315726935863495,0.26396639034410646,by,2.4338028169014088,2.535211267605634,73,76,74,token_offset_proportional_fallback,0.35
02,vision,4,11,0.06994859647171106,0.032695889472961426,0.26396639034410646,-,2.1295774647887327,2.1802816901408453,63,65,64,token_offset_proportional_fallback,0.35
02,vision,5,4,0.06375508176593302,0.08224187791347504,0.26396639034410646,live,0.5577464788732395,0.7605633802816901,16,22,19,token_offset_proportional_fallback,0.35
03,text,1,29,0.10125524717003004,0.14510478079319,0.49363241453531675,rental,13.090909090909092,13.762237762237762,392,412,402,token_offset_proportional_fallback,0.35
03,text,2,22,0.08366872490710957,0.24818171560764313,0.49363241453531675,rental,8.839160839160838,9.51048951048951,265,285,275,token_offset_proportional_fallback,0.35
03,text,3,27,0.048576901160769154,0.03966482728719711,0.49363241453531675,they,11.972027972027972,12.41958041958042,359,372,366,token_offset_proportional_fallback,0.35
03,text,4,14,0.04160227410067395,0.032513685524463654,0.49363241453531675,just,5.594405594405594,6.041958041958042,167,181,174,token_offset_proportional_fallback,0.35
