video_id,clip_id,text,label,annotation,sample_key,text_char_len,text_word_len,polarity,annotation_norm,annotation_matches_score,relative_path,file_size_mb,readable,width,height,fps,frame_count,duration_sec,codec,sampled_brightness_mean
-3g5yACwYnA,13,They've been able to find solutions or at least bring some answers to the table.,0.6666666865348816,Positive,-3g5yACwYnA/13,80,15,positive,positive,True,-3g5yACwYnA/13.mp4,1.0036935806274414,True,1280,720,30.0,261,8.7,h264,79.18700737847222
-3g5yACwYnA,2,Key Polymer brings a technical aspect to our operation that we don't have internally.,0.0,Neutral,-3g5yACwYnA/2,85,14,neutral,neutral,True,-3g5yACwYnA/2.mp4,1.6713695526123047,True,1280,720,30.0,424,14.133333333333333,h264,79.99025499131943
-3g5yACwYnA,3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",0.0,Neutral,-3g5yACwYnA/3,173,29,neutral,neutral,True,-3g5yACwYnA/3.mp4,2.214628219604492,True,1280,720,30.0,578,19.266666666666666,h264,79.66605794270833
-3g5yACwYnA,9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",0.6666666865348816,Positive,-3g5yACwYnA/9,139,21,positive,positive,True,-3g5yACwYnA/9.mp4,1.848689079284668,True,1280,720,30.0,486,16.2,h264,79.37759060329861
-3nNcZdcdvU,5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,0.0,Neutral,-3nNcZdcdvU/5,104,18,neutral,neutral,True,-3nNcZdcdvU/5.mp4,0.32137393951416016,True,320,240,30.0,328,10.933333333333334,h264,92.43276041666667
-571d8cVauQ,0,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",0.0,Neutral,-571d8cVauQ/0,72,12,neutral,neutral,True,-571d8cVauQ/0.mp4,0.24755191802978516,True,486,360,30.0,152,5.066666666666666,h264,41.339694787379976
-571d8cVauQ,5,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",0.3333333432674408,Positive,-571d8cVauQ/5,229,43,positive,positive,True,-571d8cVauQ/5.mp4,0.7760725021362305,True,486,360,30.0,552,18.4,h264,67.45030578417924
-6rXp3zJ3kc,8,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,-1.0,Negative,-6rXp3zJ3kc/8,170,34,negative,negative,True,-6rXp3zJ3kc/8.mp4,0.5410671234130859,True,480,270,30.0,497,16.566666666666666,h264,65.01030478395062
-9y-fZ3swSY,0,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",1.0,Positive,-9y-fZ3swSY/0,102,22,positive,positive,True,-9y-fZ3swSY/0.mp4,0.9207277297973633,True,1280,720,30.0,205,6.833333333333333,h264,196.71325050636574
-9y-fZ3swSY,4,I’ve seen this in US or in the US,0.0,Neutral,-9y-fZ3swSY/4,33,9,neutral,neutral,True,-9y-fZ3swSY/4.mp4,1.4172754287719727,True,1280,720,30.0,277,9.233333333333333,h264,205.27775390625
-9y-fZ3swSY,8,That’s a more decent and more polite way to call a lady,1.6666666269302368,Positive,-9y-fZ3swSY/8,55,12,positive,positive,True,-9y-fZ3swSY/8.mp4,1.6356010437011719,True,1280,720,30.0,323,10.766666666666667,h264,203.1171072048611
-AUZQgSxyPQ,2,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",0.6666666865348816,Positive,-AUZQgSxyPQ/2,262,41,positive,positive,True,-AUZQgSxyPQ/2.mp4,4.3394575119018555,True,1280,720,30.0,818,27.266666666666666,h264,106.8902414279514
-HeZS2-Prhc,2,The August jobs report is out and it was seen overall as solid but not great.,0.6666666865348816,Positive,-HeZS2-Prhc/2,77,16,positive,positive,True,-HeZS2-Prhc/2.mp4,0.85540771484375,True,360,360,30.0,474,15.8,h264,126.38309799382716
-HwX2H8Z4hY,2,"” [President Ronald Reagan:] ""Look at the record",0.0,Neutral,-HwX2H8Z4hY/2,48,8,neutral,neutral,True,-HwX2H8Z4hY/2.mp4,0.9144525527954102,True,1280,720,30.0,244,8.133333333333333,h264,39.905919053819446
