sample_id,rank,modality,modality_id,position,window_start,window_end,selector_score,local_importance,prototype_available,prototype_status,prototype_index,prototype_similarity,prototype_sample_id,prototype_position,text_span,char_start,char_end,start_sec,end_sec,start_frame,end_frame,representative_frame,mapping_method,mapping_confidence
01,1,text,0,11,9,13,7.290539264678955,0.6698647737503052,True,matched,14,0.8256209492683411,ogGweZUAVtU$_$46,11,essential,66,75,4.335766423357664,4.927007299270073,130,147,138,token_offset_proportional_fallback,0.35
01,2,text,0,12,10,14,6.955885887145996,0.24050243198871613,True,matched,11,0.89699387550354,51224$_$1,12,to,76,78,4.992700729927007,5.124087591240876,149,153,151,token_offset_proportional_fallback,0.35
01,3,text,0,22,20,24,4.173433303833008,0.03294696286320686,True,matched,33,0.9362508058547974,83859$_$3,22,requirements,125,137,8.211678832116789,9.0,246,269,258,token_offset_proportional_fallback,0.35
01,4,text,0,10,8,12,4.112210750579834,0.019434817135334015,True,matched,15,0.6775892972946167,295793$_$3,21,is,63,65,4.138686131386861,4.2700729927007295,124,128,126,token_offset_proportional_fallback,0.35
01,5,text,0,18,16,20,3.9465491771698,0.014101015403866768,True,matched,9,0.6709270477294922,90172$_$11,17,to,110,112,7.226277372262774,7.357664233576642,216,220,218,token_offset_proportional_fallback,0.35
01,6,text,0,5,3,7,3.4929699897766113,0.02314998395740986,True,matched,28,0.9437717199325562,z6E-ocntPo4$_$2,5,when,32,36,2.102189781021898,2.3649635036496353,63,70,66,token_offset_proportional_fallback,0.35
02,1,audio,1,18,16,20,2.8708596229553223,0.22181956470012665,True,matched,69,0.88335120677948,OdKp0hYomgs$_$10,18,misery,64,70,3.2450704225352114,3.5492957746478875,97,106,102,token_offset_proportional_fallback,0.35
02,2,audio,1,12,10,14,2.150611400604248,0.26331812143325806,True,matched,64,0.8977828621864319,OHWyYVux-yw$_$10,12,not,44,47,2.230985915492958,2.383098591549296,66,71,68,token_offset_proportional_fallback,0.35
02,3,audio,1,1,0,3,1.6825450658798218,0.29842066764831543,True,matched,50,0.8915305733680725,iREkcXde5ds$_$0,1,We,0,2,0.0,0.10140845070422536,0,3,2,token_offset_proportional_fallback,0.35
02,4,audio,1,13,11,15,1.1121799945831299,0.06368990242481232,True,matched,55,0.9701441526412964,xn9_4n4NpEw$_$7,13,by,48,50,2.4338028169014088,2.535211267605634,73,76,74,token_offset_proportional_fallback,0.35
02,5,audio,1,11,9,13,0.4097719192504883,0.15275168418884277,True,matched,51,0.8910834789276123,07Z16yRBFUQ$_$5,11,-,42,43,2.1295774647887327,2.1802816901408453,63,65,64,token_offset_proportional_fallback,0.35
03,1,vision,2,13,11,15,2.68996524810791,0.0014521002303808928,True,matched,100,0.9591081142425537,244261$_$14,13,is,47,49,5.258741258741258,5.4825174825174825,157,164,160,token_offset_proportional_fallback,0.35
03,2,audio,1,32,30,34,2.346449136734009,0.19302818179130554,True,matched,38,0.8911782503128052,33312$_$8,32,account,135,142,15.104895104895105,15.888111888111888,453,476,464,token_offset_proportional_fallback,0.35
03,3,vision,2,28,26,30,2.277510643005371,0.17337331175804138,True,matched,97,0.8990789651870728,ZtuTCuh9C1M$_$11,28,take,112,116,12.531468531468532,12.979020979020978,375,389,382,token_offset_proportional_fallback,0.35
03,4,audio,1,18,16,20,2.20894718170166,0.13555224239826202,True,matched,69,0.9195881485939026,OdKp0hYomgs$_$10,18,don,68,71,7.608391608391608,7.944055944055944,228,238,233,token_offset_proportional_fallback,0.35
03,5,audio,1,31,29,33,1.3558666706085205,0.1728997677564621,True,matched,40,0.6568781137466431,40260$_$8,18,into,130,134,14.545454545454545,14.993006993006993,436,449,442,token_offset_proportional_fallback,0.35
03,6,vision,2,27,25,29,0.9926221966743469,0.14884217083454132,True,matched,85,0.7679767608642578,7pZPQbMKGkY$_$5,13,they,107,111,11.972027972027972,12.41958041958042,359,372,366,token_offset_proportional_fallback,0.35
03,7,text,0,31,29,33,0.9479185342788696,0.11140742897987366,True,matched,20,0.7066224813461304,srbrWyZRMCI$_$5,36,into,130,134,14.545454545454545,14.993006993006993,436,449,442,token_offset_proportional_fallback,0.35
03,8,vision,2,12,10,14,0.6742938160896301,0.06344474107027054,True,matched,101,0.9611619710922241,244261$_$14,12,think,41,46,4.5874125874125875,5.146853146853147,137,154,146,token_offset_proportional_fallback,0.35
04,1,text,0,14,12,16,3.031548023223877,0.14688943326473236,True,matched,30,0.6467113494873047,8YsIvz4qnk4$_$1,4,chances,52,59,4.487227414330217,5.091277258566978,134,152,143,token_offset_proportional_fallback,0.35
04,2,text,0,15,13,17,2.011859893798828,0.13547354936599731,True,matched,30,0.6679006218910217,8YsIvz4qnk4$_$1,4,of,60,62,5.177570093457944,5.350155763239875,155,160,158,token_offset_proportional_fallback,0.35
04,3,text,0,13,11,15,2.0065999031066895,0.0046126749366521835,True,matched,5,0.8859049081802368,27798$_$5,13,my,49,51,4.228348909657321,4.4009345794392525,126,132,129,token_offset_proportional_fallback,0.35
04,4,text,0,16,14,18,1.607116937637329,0.4175230860710144,True,matched,30,0.6424649953842163,8YsIvz4qnk4$_$1,4,cheering,63,71,5.43644859813084,6.126791277258566,163,183,173,token_offset_proportional_fallback,0.35
04,5,text,0,18,16,20,1.1917009353637695,0.10779543220996857,True,matched,23,0.6309154629707336,GJyzeK-Cn-0$_$6,17,GO,73,75,6.299376947040498,6.471962616822429,188,194,191,token_offset_proportional_fallback,0.35
04,6,text,0,17,15,19,1.1013456583023071,0.1446799486875534,True,matched,9,0.8957161903381348,90172$_$11,17,"""",72,73,6.213084112149533,6.299376947040498,186,188,187,token_offset_proportional_fallback,0.35
04,7,text,0,12,10,14,0.8701563477516174,0.04302586242556572,True,matched,31,0.930227518081665,QE0pAVSPsKQ$_$2,12,kiss,44,48,3.796884735202492,4.142056074766354,113,124,118,token_offset_proportional_fallback,0.35
05,1,text,0,15,13,17,1.7872493267059326,0.14442302286624908,True,matched,30,0.6674598455429077,8YsIvz4qnk4$_$1,4,.,60,61,6.0,6.1,180,182,181,token_offset_proportional_fallback,0.35
05,2,text,0,14,12,16,1.6734378337860107,0.6310717463493347,True,matched,0,0.6915557384490967,lTfsqoo-jKg$_$4,6,Marketing,51,60,5.1,6.0,153,179,166,token_offset_proportional_fallback,0.35
05,3,text,0,7,5,9,1.643147349357605,0.2107754349708557,True,matched,6,0.9191698431968689,46604$_$4,7,",",20,21,2.0,2.1,60,62,61,token_offset_proportional_fallback,0.35
05,4,text,0,6,4,8,1.5546261072158813,0.01372979860752821,True,matched,0,0.9249311685562134,lTfsqoo-jKg$_$4,6,Chloe,15,20,1.5,2.0,45,59,52,token_offset_proportional_fallback,0.35
06,1,text,0,35,33,37,5.811527729034424,0.3908664882183075,True,matched,10,0.9465818405151367,lzyVWNrkgbQ$_$9,35,that,157,161,9.49151138716356,9.733333333333333,284,291,288,token_offset_proportional_fallback,0.35
06,2,text,0,10,8,12,5.146382808685303,0.035680122673511505,True,matched,30,0.7268013954162598,8YsIvz4qnk4$_$1,4,that,30,34,1.813664596273292,2.055486542443064,54,61,58,token_offset_proportional_fallback,0.35
06,3,text,0,7,5,9,4.880049228668213,0.005345130804926157,True,matched,32,0.9255075454711914,260011$_$3,7,of,16,18,0.9672877846790889,1.0881987577639751,29,32,30,token_offset_proportional_fallback,0.35
06,4,text,0,34,32,36,4.668009281158447,0.09203941375017166,True,matched,30,0.6827321648597717,8YsIvz4qnk4$_$1,4,for,153,156,9.249689440993787,9.431055900621118,277,282,280,token_offset_proportional_fallback,0.35
06,5,text,0,23,21,25,4.3033976554870605,0.030894266441464424,True,matched,30,0.6738866567611694,8YsIvz4qnk4$_$1,4,moves,96,101,5.803726708074533,6.106004140786749,174,183,178,token_offset_proportional_fallback,0.35
06,6,text,0,22,20,24,4.214311599731445,0.18352176249027252,True,matched,33,0.9170300960540771,83859$_$3,22,dance,90,95,5.440993788819875,5.7432712215320905,163,172,168,token_offset_proportional_fallback,0.35
